379618947,4056114,John Francis,Hazel Carmen Baird Holifield,John Francis,Pippin Mccann,Bogota,Cll 230B  # 60E - 95C,empathy@aol.com,6900078,Hazel Carmen Baird Holifield
285769191,6078770,William Daniel,Hazel Carmen Baird Holifield,William Daniel,Carter Cormier,Bogota,Cll 68B  # 54C - 76E,camenisch@icloud.com,1150032,Hazel Carmen Baird Holifield
843907058,4836783,Michael Jeffrey,Hazel Carmen Baird Holifield,Michael Jeffrey,Lynch Bagley,Bogota,Cll 53A Sur# 45C - 94C,pkplex@icloud.com,3002825,Hazel Carmen Baird Holifield
654508769,7896949,Miriam Valerie,Hazel Carmen Baird Holifield,Miriam Valerie,Ballard Underwood,Bogota,Cll 204D Sur# 32D - 48E,portscan@icloud.com,7960769,Hazel Carmen Baird Holifield
838031065,2036567,Lee Steven,Mark Thomas Bara Hunter,Lee Steven,Varghese Williams,Bogota,Cll 131C Sur# 62  - 60E,malin@att.net,7043348,Mark Thomas Bara Hunter
192760694,5057211,Marci Patricia,Mark Thomas Bara Hunter,Marci Patricia,Hunstad Mattson,Bogota,Cll 10  Sur# 10  - 70B,jbailie@verizon.net,2898001,Mark Thomas Bara Hunter
978542366,5391496,Patrick John,Mark Thomas Bara Hunter,Patrick John,Arceneaux Banchero,Bogota,Cll 225  Sur# 49  - 82B,bonmots@comcast.net,8267894,Mark Thomas Bara Hunter
1011552921,7277993,Leonard Glenn,Mark Thomas Bara Hunter,Leonard Glenn,Moore Mcgahan,Bogota,Cll 86   # 1D - 73B,camenisch@icloud.com,8155219,Mark Thomas Bara Hunter
101090555,4466970,Gena Ann,Mark Thomas Bara Hunter,Gena Ann,Keller Rollins,Bogota,Cll 108C  # 2  - 93B,daveewart@me.com,6704684,Mark Thomas Bara Hunter
584417290,4838680,Roberta Jessie,Mark Thomas Bara Hunter,Roberta Jessie,Piro Wools,Bogota,Cll 207   # 80B - 32A,rjones@msn.com,5478367,Mark Thomas Bara Hunter
111349253,4524035,Wendy Bridget,Christine Penny Vandekieft Field,Wendy Bridget,Diehl Weiss,Bogota,Cll 134A Sur# 86E - 32A,mwilson@gmail.com,5136271,Christine Penny Vandekieft Field
975744646,6313634,Sarah Jean,Christine Penny Vandekieft Field,Sarah Jean,Monica Moore,Bogota,Cll 206B  # 9E - 48E,zeller@live.com,8423262,Christine Penny Vandekieft Field
646844044,4922249,Thomas Shane,Christine Penny Vandekieft Field,Thomas Shane,Fletcher Crouse,Bogota,Cll 183  Sur# 60D - 2C,calin@comcast.net,9371672,Christine Penny Vandekieft Field
626360394,7082296,William Christopher,Christine Penny Vandekieft Field,William Christopher,Hopkins Langley,Bogota,Cll 116A  # 53B - 57B,mcmillan@mac.com,1869562,Christine Penny Vandekieft Field
259882246,6468955,Eric Joseph,Marian Elizabeth Mullin Rosado,Eric Joseph,Consla Hammond,Bogota,Cll 165  Sur# 39D - 84 ,gknauss@aol.com,9990031,Marian Elizabeth Mullin Rosado
684554561,5044750,Rosemary Kristy,Marian Elizabeth Mullin Rosado,Rosemary Kristy,Askins Jones,Bogota,Cll 74D Sur# 21A - 48B,sequin@outlook.com,7462029,Marian Elizabeth Mullin Rosado
569880158,1850925,Penny Samantha,Marian Elizabeth Mullin Rosado,Penny Samantha,Cain Boardman,Bogota,Cll 45   # 26C - 13 ,barlow@sbcglobal.net,2431537,Marian Elizabeth Mullin Rosado
825261179,3836298,Karina Scott,Marian Elizabeth Mullin Rosado,Karina Scott,Gosz Thomas,Bogota,Cll 119A Sur# 52D - 7 ,bastian@me.com,5912138,Marian Elizabeth Mullin Rosado
453713915,4362020,Kandy Betty,Ignacio James Vandamme Tillett,Kandy Betty,Marshall Moore,Bogota,Cll 121E  # 9  - 71A,bader@live.com,4705614,Ignacio James Vandamme Tillett
264646208,8897382,Ted Ernest,Ignacio James Vandamme Tillett,Ted Ernest,Hays Green,Bogota,Cll 114E  # 39D - 77A,lushe@yahoo.ca,5470078,Ignacio James Vandamme Tillett
