423477824,Vendedor Voz a Voz,Mary Carrie,Perez Hamel,Femenino,mary.perez@ventascolombia.co,26/07/2006,comercial,Vendedor Voz a Voz,Bogota,Scott Pecoraro,2329144,7,0
85939845,Vendedor Voz a Voz,Donna Valerie,Mireles Pyon,Femenino,donna.mireles@ventascolombia.co,23/05/2003,comercial,Vendedor Voz a Voz,Bogota,Scott Pecoraro,2990985,7,0
446644026,Vendedor Voz a Voz,James Jason,Winchester Williams,Masculino,james.winchester@ventascolombia.co,17/08/2008,comercial,Vendedor Voz a Voz,Bogota,Scott Pecoraro,2675562,11,0
1100262421,Vendedor Voz a Voz,Monica Tracy,Bade Hirschman,Femenino,monica.bade@ventascolombia.co,1/2/95,comercial,Vendedor Voz a Voz,Bogota,Scott Pecoraro,2728280,3,0
982806683,Vendedor Call Center,Gerald Kenneth,Goers Hunter,Masculino,gerald.goers@ventascolombia.co,22/01/2002,comercial,Vendedor Call Center,Bogota,Scott Pecoraro,2597896,12,0
192868141,Vendedor Call Center,Brian Joseph,Bryant Dewick,Masculino,brian.bryant@ventascolombia.co,1/4/07,comercial,Vendedor Call Center,Bogota,Scott Pecoraro,2927414,4,0
1086598641,Vendedor Call Center,Jaimie Natalie,Harrison Chipman,Femenino,jaimie.harrison@ventascolombia.co,17/12/2016,comercial,Vendedor Call Center,Bogota,Scott Pecoraro,2852603,4,0
173533836,Vendedor Call Center,Harry Lloyd,Seymour Baker,Masculino,harry.seymour@ventascolombia.co,8/7/91,comercial,Vendedor Call Center,Bogota,Scott Pecoraro,2676019,12,0
853966843,Vendedor Call Center,Daniel Thomas,Brown Kim,Masculino,daniel.brown@ventascolombia.co,10/9/99,comercial,Vendedor Call Center,Bogota,Scott Pecoraro,2586366,7,0
842130765,Vendedor Call Center,Carmella Sherri,Nauman Fells,Femenino,carmella.nauman@ventascolombia.co,14/02/2018,comercial,Vendedor Call Center,Bogota,Scott Pecoraro,2749453,6,0
807229090,Vendedor Call Center,Walter James,Gonzalez Aguilar,Masculino,walter.gonzalez@ventascolombia.co,9/9/15,comercial,Vendedor Call Center,Bogota,Scott Pecoraro,2678607,10,0
1110090096,Web Seller,Harry Robert,Hinh Leabow,Masculino,harry.hinh@ventascolombia.co,15/12/1990,comercial,Web Seller,Bogota,Scott Pecoraro,2216577,10,0
378848229,Web Seller,Susan Dianne,Rockhill Mitchell,Femenino,susan.rockhill@ventascolombia.co,19/12/2005,comercial,Web Seller,Bogota,Scott Pecoraro,2644799,9,0
734602145,Web Seller,Delphine Sandra,Ward Rosenfield,Femenino,delphine.ward@ventascolombia.co,7/5/14,comercial,Web Seller,Bogota,Scott Pecoraro,2690901,5,0
157544937,Psicologia,Colby William,Tony Troup,Masculino,colby.tony@ventascolombia.co,2/11/96,recursos humanos,Psicologia,Bogota,Richard Stout,3491309,Null,Null
579651297,Psicologia,Evelyn Ebony,Moore Smith,Femenino,evelyn.moore@ventascolombia.co,23/08/2016,recursos humanos,Psicologia,Bogota,Richard Stout,3024323,Null,Null
442110645,Psicologia,Ruth Annette,Morgan Smith,Femenino,ruth.morgan@ventascolombia.co,26/08/2008,recursos humanos,Psicologia,Bogota,Richard Stout,2922308,Null,Null
1049620973,Contratacion,Andrew John,Barnes Slaton,Masculino,andrew.barnes@ventascolombia.co,15/06/2014,recursos humanos,Contratacion,Bogota,Richard Stout,2464744,Null,Null
387940126,Contratacion,Misty Stella,Pioske Nguyen,Femenino,misty.pioske@ventascolombia.co,11/1/18,recursos humanos,Contratacion,Bogota,Richard Stout,2958272,Null,Null
139039323,Contratacion,Mary Kathleen,Beverly Chesley,Femenino,mary.beverly@ventascolombia.co,14/06/2006,recursos humanos,Contratacion,Bogota,Richard Stout,2409048,Null,Null
234442004,Contador,Maryann Alvina,Wyatt Woll,Femenino,maryann.wyatt@ventascolombia.co,6/9/05,financiero,Contador,Bogota,Timothy Fields,3396321,Null,Null
1105580546,Contador,David John,Abbott Mcgowan,Masculino,david.abbott@ventascolombia.co,16/04/1995,financiero,Contador,Bogota,Timothy Fields,3111654,Null,Null
165996404,Contador,Nona Joan,Aaron Collins,Femenino,nona.aaron@ventascolombia.co,17/08/1993,financiero,Contador,Bogota,Timothy Fields,3111725,Null,Null
1101393716,Contador,Helen Irma,Opland Mora,Femenino,helen.opland@ventascolombia.co,24/03/2004,financiero,Contador,Bogota,Timothy Fields,3623055,Null,Null
400511391,Contador,Antonio Carl,Prince Myrlie,Masculino,antonio.prince@ventascolombia.co,8/6/14,financiero,Contador,Bogota,Timothy Fields,3110051,Null,Null
619623583,Contador,Joseph James,Moon Toner,Masculino,joseph.moon@ventascolombia.co,24/04/2008,financiero,Contador,Bogota,Timothy Fields,3896065,Null,Null
779841052,Auditor,Lady Lisa,Anderson Neal,Femenino,lady.anderson@ventascolombia.co,13/05/2008,financiero,Auditor,Bogota,Timothy Fields,3570784,Null,Null
270376478,Auditor,Edward Howard,Johnson Lentini,Masculino,edward.johnson@ventascolombia.co,4/6/04,financiero,Auditor,Bogota,Timothy Fields,3042034,Null,Null
238428985,Auditor,Jodie Jean,Michaud Noel,Femenino,jodie.michaud@ventascolombia.co,21/07/1995,financiero,Auditor,Bogota,Timothy Fields,3232597,Null,Null
499209815,Auditor,Lavern Nancy,Wilson Daniel,Femenino,lavern.wilson@ventascolombia.co,10/4/02,financiero,Auditor,Bogota,Timothy Fields,3386483,Null,Null
621965968,Auditor,Elizabeth Sherry,West Thomas,Femenino,elizabeth.west@ventascolombia.co,3/2/95,financiero,Auditor,Bogota,Timothy Fields,3946678,Null,Null
734864078,Auditor,Elizabeth Lisa,Roberts Dillon,Femenino,elizabeth.roberts@ventascolombia.co,20/07/2007,financiero,Auditor,Bogota,Timothy Fields,3010232,Null,Null
